"﻿分位別","納稅單位","合計","營利所得","執行業務所得","薪資所得","利息所得","租賃及權利金","財產交易所得","機會中獎所得","股利所得","退職所得","其他所得","稿費所得","申報大於歸戶","薪資收入"
"第1分位","1327019","100.00","6.00","3.33","59.64","8.29","2.45","0.43","0.32","17.49","0.01","1.40","0.07","0.56","197.74"
"第2分位","1327019","100.00","3.47","2.34","73.47","4.73","2.41","0.27","0.22","11.45","0.01","1.18","0.04","0.41","140.22"
"第3分位","1327019","100.00","2.90","2.28","75.31","4.24","2.33","0.23","0.19","10.94","0.01","1.18","0.03","0.35","119.33"
"第4分位","1327019","100.00","2.74","2.54","74.05","3.76","2.41","0.24","0.18","12.46","0.03","1.21","0.03","0.35","103.17"
"第5分位","1327019","100.00","1.88","2.57","63.67","2.50","2.35","0.35","0.13","23.63","0.20","2.17","0.03","0.51","74.41"
"合計","6635095","100.00","2.35","2.54","67.48","3.20","2.37","0.31","0.15","19.19","0.13","1.80","0.03","0.46","91.60"
